iter	Passed	Remaining
572	72802	689529
573	72935	689457
574	73054	689257
575	73176	689077
576	73296	688887
577	73416	688688
578	73546	688592
579	73672	688457
580	73807	688399
581	73942	688349
582	74076	688292
583	74201	688139
584	74319	687928
585	74441	687754
586	74564	687591
587	74683	687389
588	74801	687181
589	74920	686984
590	75053	686913
591	75183	686812
592	75317	686748
593	75450	686671
594	75585	686618
595	75715	686519
596	75849	686454
597	75985	686409
598	76110	686261
599	76233	686100
600	76365	686014
601	76492	685892
602	76620	685776
603	76748	685656
604	76882	685585
605	77018	685541
606	77151	685466
607	77282	685378
608	77406	685222
609	77537	685130
610	77666	685015
611	77799	684938
612	77924	684793
613	78045	684610
614	78166	684436
615	78289	684268
616	78416	684145
617	78544	684019
618	78679	683961
619	78813	683897
620	78960	683945
621	79084	683789
622	79206	683620
623	79327	683435
624	79449	683266
625	79579	683161
626	79709	683059
627	79843	682994
628	79971	682874
629	80099	682756
630	80224	682610
631	80347	682443
632	80476	682331
633	80606	682233
634	80737	682138
635	80871	682070
636	81005	681996
637	81138	681918
638	81270	681831
639	81394	681676
640	81515	681501
641	81640	681355
642	81769	681240
643	81900	681146
644	82033	681069
645	82165	680982
646	82292	680855
647	82414	680685
648	82536	680514
649	82661	680371
650	82781	680181
651	82900	679985
652	83027	679859
653	83156	679747
654	83289	679665
655	83424	679602
656	83558	679529
657	83691	679456
658	83824	679369
659	83945	679199
660	84071	679057
661	84201	678952
662	84322	678779
663	84445	678614
664	84572	678486
665	84697	678340
666	84828	678248
667	84960	678158
668	85092	678067
669	85224	677980
670	85354	677873
671	85475	677697
672	85597	677531
673	85717	677349
674	85837	677160
675	85957	676982
676	86083	676841
677	86210	676715
678	86339	676599
679	86470	676503
680	86602	676414
681	86738	676353
682	86869	676260
683	87004	676193
684	87133	676079
685	87252	675892
686	87372	675708
687	87495	675544
688	87613	675350
689	87733	675168
690	87857	675018
691	87984	674887
692	88116	674796
693	88248	674709
694	88377	674594
695	88508	674492
696	88638	674392
697	88773	674320
698	88902	674207
699	89026	674060
700	89149	673895
701	89269	673715
702	89388	673529
703	89520	673437
704	89649	673324
705	89785	673264
706	89916	673163
707	90053	673109
708	90188	673039
709	90308	672861
710	90433	672721
711	90552	672531
712	90673	672357
713	90795	672191
714	90915	672015
715	91036	671835
716	91161	671699
717	91291	671593
718	91430	671552
719	91564	671471
720	91695	671373
721	91827	671282
722	91963	671222
723	92093	671111
724	92221	670991
725	92350	670876
726	92469	670691
727	92589	670514
728	92708	670326
729	92826	670128
730	92949	669974
731	93078	669856
732	93211	669776
733	93342	669678
734	93473	669578
735	93607	669496
736	93737	669388
737	93867	669284
738	93988	669114
739	94113	668969
740	94233	668792
741	94353	668609
742	94475	668445
743	94599	668301
744	94730	668200
745	94859	668088
746	94989	667981
747	95124	667908
748	95260	667842
749	95392	667745
750	95521	667631
751	95647	667497
752	95774	667366
753	95897	667210
754	96021	667064
755	96145	666913
756	96270	666774
757	96399	666657
